sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
54-ITS_S246,54,1,F,7,45,T1,47.7,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,54-ITS_S246_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.46211334576199,0.511818678036291,2,3
55-ITS_S247,55,1,G,7,46,T1,11.4,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,55-ITS_S247_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.36952447093644,0.815857849843588,3,2
56-ITS_S248,56,1,H,7,47,T1,26.5,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,56-ITS_S248_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.60360343376525,0.857059227981868,2,2
58-ITS_S250,58,1,B,8,8,T1,23.5,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,58-ITS_S250_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.44767556534462,0.814621755799062,3,3
6-ITS_S198,6,1,F,1,15,T1,17.8,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,6-ITS_S198_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.37771381352525,0.848989394963437,2,2
60-ITS_S252,60,1,D,8,48,T1,8.74,Water Control,Extruded Green-Fibre®,0_Extruded FG,ITS,0_Extruded FG_ITS,60-ITS_S252_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.75067919376854,0.893998682046423,1,2
74-ITS_S266,74,1,B,10,10,T1,18.1,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,74-ITS_S266_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.34086406721735,0.860230321094703,3,1.5
79-ITS_S271,79,1,G,10,1,T2,31,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,79-ITS_S271_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,3.06810250684487,0.93669127989823,1,3.5
8-ITS_S200,8,1,H,1,17,T1,20.4,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,8-ITS_S200_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.4269028526084,0.834425421923449,2,2.5
80-ITS_S272,80,1,H,10,2,T2,26.7,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,80-ITS_S272_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.99143557418531,0.912043438010239,3,2
82-ITS_S274,82,1,B,11,11,T1,22.2,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,82-ITS_S274_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.34854549107657,0.860032754001319,2,1.5
84-ITS_S276,84,1,D,11,3,T2,9.48,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,84-ITS_S276_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.77104233668106,0.898765133744343,2,2.5
87-ITS_S279,87,1,G,11,6,T2,10.2,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,87-ITS_S279_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.58336584968017,0.906214456073863,1,2.5
90-ITS_S282,90,1,B,12,12,T1,19.5,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,90-ITS_S282_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.41573410248922,0.832348733519061,1,2
92-ITS_S284,92,1,D,12,8,T2,13,Water Control,Peatlite,0_Peatlite,ITS,0_Peatlite_ITS,92-ITS_S284_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.63402975662966,0.913236394963219,3,0.5
98-ITS_S290,98,2,B,1,14,T2,23.5,Inoculated,Hammer-milled Pine Tree Substrate (PTS),1_Hammermilled-PTS,ITS,1_Hammermilled-PTS_ITS,98-ITS_S290_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,3.13265519840823,0.936446280991736,3,0.5
